Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Report,TPS,Memory(max) [GB],Memory(avg) [GB],Disc Write [B]
/node-besu4,0.0275,0.01375,,,0.00,0.00,164,0.00,query_report_100_20251104-110622,100,0.575,0.575,
/node-besu1,0.04,0.015416666666666667,,,0.00,0.00,380,0.00,query_report_100_20251104-110622,100,1.20,1.20,
/node-besu5,0.011250000000000001,0.005833333333333334,,,0.00,0.00,132,0.00,query_report_100_20251104-110622,100,0.596,0.596,
/node-besu3,0.011250000000000001,0.005833333333333334,,,0.00,0.00,576,0.00,query_report_100_20251104-110622,100,0.592,0.592,
/node-besu2,0.02791666666666667,0.012499999999999999,,,0.00,0.00,164,0.00,query_report_100_20251104-110622,100,0.614,0.614,
/node-besu6,0.014166666666666668,0.006666666666666667,,,0.00,0.00,148,0.00,query_report_100_20251104-110622,100,0.576,0.576,
/node5,0.015,0.014166666666666668,538,538,0.00,0.00,56.0,0.00,query_report_100_20251112-145017,100,,,
/node6,0.015,0.014166666666666668,542,541,0.00,0.00,56.0,0.00,query_report_100_20251112-145017,100,,,
/node2,0.07416666666666667,0.04416666666666667,542,541,0.00,0.00,72.0,0.00,query_report_100_20251112-145017,100,,,
/node4,0.05833333333333333,0.0275,563,563,0.00,0.00,56.0,0.00,query_report_100_20251112-145017,100,,,
/node1,0.09499999999999999,0.04583333333333334,903,903,0.00,0.00,324,0.00,query_report_100_20251112-145017,100,,,
/node3,0.015,0.013333333333333334,533,533,0.00,0.00,56.0,0.00,query_report_100_20251112-145017,100,,,
/node-besu3,0.006666666666666667,0.005,,,0.00,0.00,0.00,0.00,query_report_200_20251104-110646,200,0.592,0.592,
/node-besu5,0.0033333333333333335,0.002916666666666667,,,0.00,0.00,44.0,0.00,query_report_200_20251104-110646,200,0.596,0.596,
/node-besu1,0.005416666666666667,0.004166666666666667,,,0.00,0.00,160,0.00,query_report_200_20251104-110646,200,1.20,1.20,
/node-besu4,0.00375,0.0033333333333333335,,,0.00,0.00,40.0,0.00,query_report_200_20251104-110646,200,0.575,0.575,
/node5,0.015,0.014166666666666668,538,538,0.00,0.00,,0.00,query_report_200_20251112-145056,200,,,0.00
/node6,0.013333333333333334,0.012499999999999999,542,542,0.00,0.00,,0.00,query_report_200_20251112-145056,200,,,0.00
/node3,0.017499999999999998,0.015,533,533,0.00,0.00,,0.00,query_report_200_20251112-145056,200,,,0.00
/node1,0.02,0.016666666666666666,903,903,0.00,0.00,,0.00,query_report_200_20251112-145056,200,,,0.00
/node2,0.0275,0.020833333333333332,541,541,0.00,0.00,,0.00,query_report_200_20251112-145056,200,,,0.00
/node4,0.06333333333333334,0.041666666666666664,563,563,0.00,0.00,,0.00,query_report_200_20251112-145056,200,,,0.00
/node-besu6,0.00375,0.0033333333333333335,,,0.00,0.00,40.0,0.00,query_report_200_20251104-110646,200,0.576,0.576,
/node-besu2,0.028749999999999998,0.01625,,,0.00,0.00,40.0,0.00,query_report_200_20251104-110646,200,0.614,0.614,
/node-besu5,0.004166666666666667,0.004166666666666667,,,0.00,0.00,44.0,0.00,query_report_300_20251104-110704,300,0.596,0.596,
/node-besu3,0.0025,0.0025,,,0.00,0.00,20.0,0.00,query_report_300_20251104-110704,300,0.593,0.593,
/node-besu4,0.002916666666666667,0.002916666666666667,,,0.00,0.00,44.0,0.00,query_report_300_20251104-110704,300,0.575,0.575,
/node-besu1,0.0025,0.0025,,,0.00,0.00,136,0.00,query_report_300_20251104-110704,300,1.20,1.20,
/node-besu2,0.015416666666666667,0.008749999999999999,,,0.00,0.00,84.0,0.00,query_report_300_20251104-110704,300,0.614,0.614,
/node-besu6,0.0033333333333333335,0.002916666666666667,,,0.00,0.00,48.0,0.00,query_report_300_20251104-110704,300,0.576,0.576,
/node3,0.03833333333333334,0.025833333333333333,533,533,0.00,0.00,56.0,0.00,query_report_300_20251112-145118,300,,,
/node1,0.034999999999999996,0.023333333333333334,903,903,0.00,0.00,192,0.00,query_report_300_20251112-145118,300,,,
/node6,0.03,0.020833333333333332,542,542,0.00,0.00,52.0,0.00,query_report_300_20251112-145118,300,,,
/node5,0.03916666666666666,0.024999999999999998,538,538,0.00,0.00,52.0,0.00,query_report_300_20251112-145118,300,,,
/node2,0.0525,0.03333333333333333,542,542,0.00,0.00,0.00,0.00,query_report_300_20251112-145118,300,,,
/node4,0.024999999999999998,0.018333333333333333,563,563,0.00,0.00,0.00,0.00,query_report_300_20251112-145118,300,,,
/node-besu3,0.002916666666666667,0.002916666666666667,,,0.00,0.00,0.00,0.00,query_report_400_20251104-110721,400,0.593,0.593,
/node-besu5,0.0033333333333333335,0.002916666666666667,,,0.00,0.00,48.0,0.00,query_report_400_20251104-110721,400,0.596,0.596,
/node2,0.07083333333333333,0.04416666666666667,542,542,0.00,0.00,16.0,0.00,query_report_400_20251112-145137,400,,,
/node4,0.050833333333333335,0.03333333333333333,563,563,0.00,0.00,16.0,0.00,query_report_400_20251112-145137,400,,,
/node-besu4,0.011250000000000001,0.007083333333333334,,,0.00,0.00,76.0,0.00,query_report_400_20251104-110721,400,0.575,0.575,
/node-besu1,0.00375,0.002916666666666667,,,0.00,0.00,200,0.00,query_report_400_20251104-110721,400,1.20,1.20,
/node5,0.04083333333333333,0.0275,538,538,0.00,0.00,52.0,0.00,query_report_400_20251112-145137,400,,,
/node6,0.03666666666666667,0.025833333333333333,542,542,0.00,0.00,0.00,0.00,query_report_400_20251112-145137,400,,,
/node3,0.06916666666666667,0.045000000000000005,533,533,0.00,0.00,56.0,0.00,query_report_400_20251112-145137,400,,,
/node1,0.03916666666666666,0.03666666666666667,903,895,0.00,0.00,124,0.00,query_report_400_20251112-145137,400,,,
/node-besu2,0.016666666666666666,0.009583333333333334,,,0.00,0.00,48.0,0.00,query_report_400_20251104-110721,400,0.614,0.614,
/node-besu6,0.0075,0.005,,,0.00,0.00,72.0,0.00,query_report_400_20251104-110721,400,0.577,0.577,
/node-besu2,0.002916666666666667,0.002916666666666667,,,0.00,0.00,44.0,0.00,query_report_500_20251104-110737,500,0.614,0.614,
/node-besu6,0.0025,0.0025,,,0.00,0.00,44.0,0.00,query_report_500_20251104-110737,500,0.577,0.577,
/node5,0.06916666666666667,0.0425,538,538,0.00,0.00,,0.00,query_report_500_20251112-145155,500,,,0.00
/node6,0.014166666666666668,0.013333333333333334,542,542,0.00,0.00,,0.00,query_report_500_20251112-145155,500,,,0.00
/node1,0.025833333333333333,0.020833333333333332,888,888,0.00,0.00,,0.00,query_report_500_20251112-145155,500,,,0.00
/node3,0.014166666666666668,0.014166666666666668,533,533,0.00,0.00,,0.00,query_report_500_20251112-145155,500,,,0.00
/node4,0.014166666666666668,0.012499999999999999,563,563,0.00,0.00,,0.00,query_report_500_20251112-145155,500,,,0.00
/node2,0.07333333333333333,0.043333333333333335,542,542,0.00,0.00,,0.00,query_report_500_20251112-145155,500,,,0.00
/node-besu1,0.004166666666666667,0.0033333333333333335,,,0.00,0.00,112,0.00,query_report_500_20251104-110737,500,1.19,1.19,
/node-besu4,0.0025,0.0025,,,0.00,0.00,40.0,0.00,query_report_500_20251104-110737,500,0.575,0.575,
/node-besu5,0.0025,0.0025,,,0.00,0.00,44.0,0.00,query_report_500_20251104-110737,500,0.596,0.596,
/node-besu3,0.002916666666666667,0.002916666666666667,,,0.00,0.00,0.00,0.00,query_report_500_20251104-110737,500,0.593,0.593,
/node2,0.04083333333333333,0.02666666666666667,542,542,0.00,0.00,0.00,0.00,query_report_600_20251112-145218,600,,,
/node4,0.014166666666666668,0.013333333333333334,563,563,0.00,0.00,0.00,0.00,query_report_600_20251112-145218,600,,,
/node5,0.014166666666666668,0.013333333333333334,538,538,0.00,0.00,0.00,0.00,query_report_600_20251112-145218,600,,,
/node6,0.018333333333333333,0.015833333333333335,542,542,0.00,0.00,16.0,0.00,query_report_600_20251112-145218,600,,,
/node-besu4,0.0075,0.005416666666666667,,,0.00,0.00,40.0,0.00,query_report_600_20251104-110752,600,0.576,0.576,
/node-besu1,0.005,0.004166666666666667,,,0.00,0.00,188,0.00,query_report_600_20251104-110752,600,1.19,1.19,
/node-besu2,0.018333333333333333,0.010833333333333334,,,0.00,0.00,40.0,0.00,query_report_600_20251104-110752,600,0.614,0.614,
/node-besu6,0.00375,0.0033333333333333335,,,0.00,0.00,44.0,0.00,query_report_600_20251104-110752,600,0.577,0.577,
/node1,0.012499999999999999,0.012499999999999999,888,888,0.00,0.00,176,0.00,query_report_600_20251112-145218,600,,,
/node3,0.015,0.014166666666666668,533,533,0.00,0.00,52.0,0.00,query_report_600_20251112-145218,600,,,
/node-besu5,0.005833333333333334,0.004166666666666667,,,0.00,0.00,40.0,0.00,query_report_600_20251104-110752,600,0.596,0.596,
/node-besu3,0.0062499999999999995,0.005,,,0.00,0.00,40.0,0.00,query_report_600_20251104-110752,600,0.593,0.593,
/node5,0.0325,0.023333333333333334,538,538,0.00,0.00,88.0,0.00,query_report_700_20251112-145234,700,,,
/node6,0.0325,0.023333333333333334,542,542,0.00,0.00,100,0.00,query_report_700_20251112-145234,700,,,
/node2,0.03666666666666667,0.024999999999999998,542,542,0.00,0.00,56.0,0.00,query_report_700_20251112-145234,700,,,
/node4,0.047499999999999994,0.03,564,563,0.00,0.00,132,0.00,query_report_700_20251112-145234,700,,,
/node-besu2,0.0033333333333333335,0.002916666666666667,,,0.00,0.00,40.0,0.00,query_report_700_20251104-110807,700,0.614,0.614,
/node-besu6,0.002916666666666667,0.0025,,,0.00,0.00,44.0,0.00,query_report_700_20251104-110807,700,0.577,0.577,
/node3,0.04416666666666667,0.028333333333333335,533,533,0.00,0.00,52.0,0.00,query_report_700_20251112-145234,700,,,
/node1,0.0375,0.029166666666666664,888,888,0.00,0.00,164,0.00,query_report_700_20251112-145234,700,,,
/node-besu4,0.0033333333333333335,0.002916666666666667,,,0.00,0.00,44.0,0.00,query_report_700_20251104-110807,700,0.576,0.576,
/node-besu1,0.0033333333333333335,0.002916666666666667,,,0.00,0.00,140,0.00,query_report_700_20251104-110807,700,1.19,1.19,
/node-besu3,0.00375,0.0033333333333333335,,,0.00,0.00,44.0,0.00,query_report_700_20251104-110807,700,0.593,0.593,
/node-besu5,0.002916666666666667,0.002916666666666667,,,0.00,0.00,40.0,0.00,query_report_700_20251104-110807,700,0.597,0.597,
